Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
15510, 59819308, 23.19343310, 16.28671875, 10.26525248, 16.28671875, 10.06242962, 16.28671875, 0.42141510, 16.44765625, 0.34066864, 16.28750000
15610, 60583804, 22.34171586, 16.29218750, 10.41005030, 16.29218750, 10.27037042, 16.29218750, 0.43452916, 16.44921875, 0.33555848, 16.29296875
15710, 61394150, 22.95157480, 16.29687500, 10.79607698, 16.29687500, 10.39349648, 16.29687500, 0.41408250, 16.44921875, 0.32119318, 16.29687500
15810, 62063398, 22.94159980, 16.29687500, 10.73163782, 16.29687500, 10.49046990, 16.29687500, 0.41920156, 16.44921875, 0.32771816, 16.29687500
15910, 62865416, 23.71396590, 16.29687500, 11.10825722, 16.29687500, 10.52289438, 16.29687500, 0.43639972, 16.45312500, 0.34574076, 16.29687500
16010, 63655010, 23.62895634, 16.32500000, 10.91249482, 16.32500000, 10.77610192, 16.32500000, 0.42770884, 16.51562500, 0.32472962, 16.33203125
16110, 64424394, 24.41388756, 16.33203125, 11.07185134, 16.33203125, 11.54807208, 16.33203125, 0.42350620, 16.48828125, 0.32905128, 16.33203125
16210, 65222258, 24.30872124, 16.33828125, 11.28595946, 16.33828125, 11.38318220, 16.33828125, 0.41878520, 16.52890625, 0.32522520, 16.33984375
16310, 66001474, 24.06543732, 16.33984375, 11.37904402, 16.33984375, 11.01377524, 16.33984375, 0.42508260, 16.55078125, 0.33927012, 16.33984375
16410, 66873586, 24.97505690, 16.33984375, 11.49215066, 16.33984375, 11.19003412, 16.33984375, 0.42286414, 16.55468750, 0.33846318, 16.33984375
16510, 67679686, 24.91042514, 16.33984375, 12.15890280, 16.33984375, 11.80854044, 16.33984375, 0.42549278, 16.52578125, 0.33235230, 16.33984375
16610, 68453995, 25.22535802, 16.34296875, 11.83186114, 16.34296875, 12.09868258, 16.34296875, 0.42003076, 16.51562500, 0.32330802, 16.34375000
16710, 69335430, 26.16522072, 16.34375000, 12.03307356, 16.34375000, 11.75790814, 16.34375000, 0.43606742, 16.52187500, 0.32632964, 16.34375000
16810, 70157886, 26.19319016, 16.34375000, 12.62663990, 16.34375000, 12.11927826, 16.34375000, 0.43534076, 16.56250000, 0.33616836, 16.34375000
16910, 71053886, 25.98752750, 16.34375000, 12.57302166, 16.34375000, 11.95843104, 16.34375000, 0.42590996, 16.51171875, 0.33407178, 16.34375000
17010, 71965048, 26.42531502, 16.34375000, 12.31168420, 16.34375000, 12.02815836, 16.34375000, 0.44295908, 16.51562500, 0.35801962, 16.34375000
17110, 72782294, 26.61078376, 16.34687500, 12.97900100, 16.34687500, 12.39093204, 16.34687500, 0.43974790, 16.51953125, 0.35960524, 16.34765625
17210, 73667503, 29.13833774, 16.34765625, 12.62933196, 16.34765625, 12.33419440, 16.34765625, 0.45141346, 16.52343750, 0.34554896, 16.34765625
17310, 74568230, 27.74995028, 16.34765625, 12.76347502, 16.34765625, 12.50940310, 16.34765625, 0.43348764, 16.52343750, 0.32923112, 16.34765625
