Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
6610, 10887382, 4.30457192, 15.37109375, 2.07515014, 15.37109375, 2.07317150, 15.37109375, 0.32207526, 15.37109375, 0.27436420, 15.37109375
6710, 11232112, 4.41831352, 15.37421875, 2.15626132, 15.37421875, 2.14461470, 15.37421875, 0.30119342, 15.37500000, 0.26424024, 15.37500000
6810, 11553825, 4.51765750, 15.41953125, 2.19147448, 15.41953125, 2.19171584, 15.41953125, 0.29926316, 15.43125000, 0.27365378, 15.43593750
6910, 11873252, 4.64517354, 15.45703125, 2.33630904, 15.45703125, 2.26609076, 15.45703125, 0.29487754, 15.45703125, 0.27067804, 15.45703125
7010, 12229803, 4.72432154, 15.45937500, 2.32676928, 15.45937500, 2.33116040, 15.45937500, 0.29807450, 15.45937500, 0.27474514, 15.46015625
7110, 12559145, 4.91283404, 15.46171875, 2.39619390, 15.46171875, 2.42450980, 15.46171875, 0.29612068, 15.46250000, 0.26902972, 15.46250000
7210, 12884180, 5.82398498, 15.46484375, 2.45940594, 15.46484375, 2.42753332, 15.46484375, 0.29123488, 15.46484375, 0.27347752, 15.46484375
7310, 13255248, 5.16686572, 15.38828125, 2.52765196, 15.38828125, 2.49181072, 15.38828125, 0.29325374, 15.43359375, 0.27029304, 15.36875000
7410, 13591449, 5.35669618, 15.36718750, 2.67189886, 15.36718750, 2.57221434, 15.36718750, 0.30160942, 15.42578125, 0.27175640, 15.36718750
7510, 13953894, 5.44171348, 15.37031250, 2.64900978, 15.37031250, 2.65396816, 15.37031250, 0.29548532, 15.42578125, 0.27059466, 15.37109375
7610, 14319839, 5.71953232, 15.37109375, 2.71629128, 15.37109375, 2.70424374, 15.37109375, 0.30580204, 15.43750000, 0.26561472, 15.37109375
7710, 14735078, 5.82204076, 15.37109375, 2.78833224, 15.37109375, 2.76632684, 15.37109375, 0.29746210, 15.43359375, 0.26956968, 15.37109375
7810, 15145769, 6.80708352, 15.37421875, 2.86199928, 15.37578125, 2.84110752, 15.37578125, 0.29971310, 15.43750000, 0.28321866, 15.37109375
7910, 15473753, 6.33814824, 15.37421875, 2.93178332, 15.37734375, 3.12994986, 15.37734375, 0.32493318, 15.44062500, 0.29114088, 15.37656250
8010, 15874511, 6.23210072, 15.38203125, 3.00128530, 15.38203125, 2.97299028, 15.38203125, 0.30515556, 15.44453125, 0.28095396, 15.38359375
8110, 16268597, 6.29543522, 15.38906250, 3.11877274, 15.38906250, 3.07416548, 15.38906250, 0.30555620, 15.45312500, 0.28551492, 15.38828125
8210, 16668014, 6.49955256, 15.39218750, 3.15765898, 15.39218750, 3.13640328, 15.39218750, 0.30604328, 15.46484375, 0.28801120, 15.39062500
8310, 17067997, 6.69657542, 15.39062500, 3.25980626, 15.39062500, 3.35853422, 15.39375000, 0.33284100, 15.46484375, 0.29763172, 15.39062500
8410, 17468819, 6.95010452, 15.39062500, 3.27623794, 15.39062500, 3.27374796, 15.39062500, 0.32355490, 15.46875000, 0.29203824, 15.39062500
8510, 17891453, 8.10144162, 15.39375000, 3.36502114, 15.39375000, 3.61221734, 15.39375000, 0.30537198, 15.46875000, 0.28764122, 15.39453125
8610, 18265315, 7.13567680, 15.39609375, 3.50623702, 15.39609375, 3.74506054, 15.39609375, 0.30395222, 15.46875000, 0.29596448, 15.39453125
